epoch,train_loss,val_loss,train_mae,val_mae,lr
1,6847.5593,5590.8548,71.75,63.76,1.00e-03
2,5836.1411,5067.9306,65.37,60.47,1.00e-03
3,4250.7155,3491.8372,54.32,49.20,1.00e-03
4,2382.9050,933.4521,38.47,23.36,1.00e-03
5,1213.0461,254.4497,27.24,11.38,1.00e-03
6,425.4073,287.3271,16.79,14.37,1.00e-03
7,491.9726,317.1315,18.42,15.23,1.00e-03
8,213.0723,825.6410,11.73,24.42,1.00e-03
9,158.8211,331.0730,10.60,16.07,5.00e-04
10,404.6327,248.4221,16.35,13.17,5.00e-04
11,344.9119,505.9770,15.21,19.88,5.00e-04
12,183.4568,204.2997,10.70,12.62,5.00e-04
13,222.0379,99.5111,12.12,8.55,5.00e-04
14,143.3077,146.5266,9.99,10.77,5.00e-04
15,236.0378,51.8781,12.58,6.41,5.00e-04
16,300.0590,62.8619,13.55,7.20,5.00e-04
17,178.2810,201.7925,11.28,12.55,5.00e-04
18,269.7893,80.4621,13.82,8.12,5.00e-04
19,132.2312,119.6229,9.47,9.61,2.50e-04
20,190.2066,89.3236,10.10,7.98,2.50e-04
21,192.0678,78.1166,11.56,8.08,2.50e-04
22,160.7298,55.8202,10.75,6.83,2.50e-04
