epoch,train_loss,val_loss,train_mae,val_mae,lr
1,6305.1349,5333.2051,68.41,61.77,1.00e-03
2,1923.2790,1976.4630,33.85,39.22,1.00e-03
3,792.5834,1328.1379,22.52,33.59,1.00e-03
4,825.0536,262.1259,23.52,14.11,1.00e-03
5,713.6991,531.0264,20.98,16.11,1.00e-03
6,852.6471,416.9890,24.12,17.35,1.00e-03
7,508.7741,84.7949,18.55,8.05,1.00e-03
8,444.4805,1013.3001,16.31,26.79,1.00e-03
9,621.7473,414.3510,20.62,18.41,1.00e-03
10,571.3573,53.8991,18.69,5.39,1.00e-03
11,597.2240,129.3443,18.44,9.91,1.00e-03
12,367.4236,188.4217,15.22,12.41,1.00e-03
13,490.1773,290.2352,16.95,15.71,1.00e-03
14,425.8697,420.6602,17.02,18.86,5.00e-04
15,264.1221,395.1745,12.69,18.31,5.00e-04
16,364.6641,449.5890,14.82,18.46,5.00e-04
17,317.6574,294.3813,15.04,15.83,5.00e-04
