epoch,train_loss,val_loss,train_mae,val_mae,lr
1,2.6788,2.6434,38.55,30.00,1.00e-03
2,2.5895,2.5924,31.51,31.43,1.00e-03
3,2.5059,2.5630,32.53,24.29,1.00e-03
4,2.4714,2.5795,27.94,53.33,1.00e-03
5,2.4322,2.4744,20.59,29.52,1.00e-03
6,2.3466,2.2749,18.45,12.38,1.00e-03
7,2.2885,2.1957,14.88,14.29,1.00e-03
8,2.2272,2.2688,15.69,32.86,1.00e-03
9,2.1793,2.1437,18.65,16.19,1.00e-03
10,2.0267,2.0414,13.24,19.52,1.00e-03
11,1.9975,1.9520,10.80,12.38,1.00e-03
12,1.9226,2.1935,9.98,19.05,1.00e-03
13,1.9027,1.8531,10.90,11.90,1.00e-03
14,1.8743,2.1032,12.63,31.90,1.00e-03
15,1.8639,2.0661,11.20,17.14,1.00e-03
16,1.7555,2.0699,8.14,20.00,1.00e-03
17,1.7773,1.9818,11.31,14.76,5.00e-04
18,1.7049,1.9024,9.06,17.62,5.00e-04
19,1.7090,1.9290,7.84,17.14,5.00e-04
20,1.7153,1.7382,11.10,9.52,5.00e-04
21,1.6389,1.6937,8.76,10.48,5.00e-04
22,1.6239,1.7064,7.94,10.00,5.00e-04
23,1.6222,1.7067,8.45,8.57,5.00e-04
24,1.6186,1.7760,7.94,10.48,5.00e-04
25,1.6001,1.7371,8.86,10.48,2.50e-04
26,1.5478,1.7055,8.76,10.48,2.50e-04
27,1.6622,1.7872,10.49,10.48,2.50e-04
28,1.6431,1.7099,9.67,10.48,2.50e-04
