epoch,train_loss,val_loss,train_mae,val_mae,lr
1,2.7221,2.6795,68.35,59.05,1.00e-03
2,2.7035,2.6760,68.35,59.05,1.00e-03
3,2.6790,2.6768,43.45,59.05,1.00e-03
4,2.6733,2.6759,48.24,59.05,1.00e-03
5,2.6601,2.6676,49.27,40.48,1.00e-03
6,2.6444,2.6512,52.12,37.62,1.00e-03
7,2.6427,2.6344,54.37,37.62,1.00e-03
8,2.6305,2.6223,44.98,25.71,1.00e-03
9,2.6288,2.6103,37.43,20.00,1.00e-03
10,2.6183,2.5985,30.90,17.62,1.00e-03
11,2.6225,2.5901,31.20,17.62,1.00e-03
12,2.6094,2.5819,32.33,17.62,1.00e-03
13,2.6114,2.5773,30.18,17.62,1.00e-03
14,2.5860,2.5772,32.84,14.76,1.00e-03
15,2.5958,2.5813,28.65,15.71,1.00e-03
16,2.5849,2.5868,27.63,15.71,1.00e-03
17,2.5901,2.5905,29.37,15.71,5.00e-04
18,2.5946,2.5870,25.49,15.71,5.00e-04
19,2.5815,2.5829,27.33,15.71,5.00e-04
20,2.5583,2.5751,25.80,15.71,5.00e-04
21,2.5558,2.5706,24.37,15.71,5.00e-04
22,2.5477,2.5658,24.47,19.05,5.00e-04
23,2.5586,2.5659,28.96,18.10,5.00e-04
24,2.5520,2.5679,26.20,18.10,5.00e-04
25,2.5695,2.5666,26.82,15.71,5.00e-04
26,2.5499,2.5631,26.71,13.33,5.00e-04
27,2.5538,2.5639,26.20,15.71,5.00e-04
28,2.5631,2.5627,30.59,16.67,5.00e-04
29,2.5447,2.5614,24.27,14.29,5.00e-04
30,2.5642,2.5582,30.29,14.29,5.00e-04
31,2.5468,2.5535,30.90,15.71,5.00e-04
32,2.5726,2.5476,26.41,16.67,5.00e-04
33,2.5112,2.5451,21.61,15.71,5.00e-04
34,2.5233,2.5337,20.39,15.71,5.00e-04
35,2.5079,2.5330,21.51,15.71,5.00e-04
36,2.5194,2.5230,21.71,15.71,5.00e-04
37,2.5471,2.5149,26.92,15.71,5.00e-04
38,2.5254,2.5174,21.41,16.67,5.00e-04
39,2.5100,2.5158,20.49,21.43,5.00e-04
40,2.5310,2.5119,22.02,16.67,5.00e-04
41,2.5224,2.5110,24.16,19.52,5.00e-04
42,2.5229,2.5094,23.35,23.33,5.00e-04
43,2.4935,2.5131,21.61,23.33,5.00e-04
44,2.5182,2.5059,24.47,16.67,5.00e-04
45,2.5218,2.5049,24.67,15.71,5.00e-04
46,2.4904,2.4997,21.51,15.71,5.00e-04
47,2.5103,2.4998,21.41,17.62,5.00e-04
48,2.4774,2.5001,20.29,18.57,5.00e-04
49,2.4881,2.4972,21.71,18.57,5.00e-04
50,2.4552,2.4894,16.92,18.57,5.00e-04
